박평식|4|이전 세편을 뭉텅뭉텅 썰어냈군
이유채|5|너무나 잔혹한 대가를 치러야 하는 통쾌함
이용철|4|안 봐도 본 것처럼
유선아|5|불한당들과 폭력의 명분을 공유하는 여전한 양지의 다크 나이트
김철홍|5|자신의 주먹에 의문을 품다가, 다시 또 풀스윙
박평식|4|이전 세편을 뭉텅뭉텅 썰어냈군
이유채|5|너무나 잔혹한 대가를 치러야 하는 통쾌함
이용철|4|안 봐도 본 것처럼
유선아|5|불한당들과 폭력의 명분을 공유하는 여전한 양지의 다크 나이트
김철홍|5|자신의 주먹에 의문을 품다가, 다시 또 풀스윙
